CN Code;Description;Conventional rate of duty (%);Supplementary unit;Conventional Rate of duty (%);Note;CAS RN;Name;Chapter;Section;Section Name;Chapter Name
1103 20 40;– – Of maize;173 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 20 50;– – Of rice;138 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 20 60;– – Of wheat;175 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 20 90;– – Other;98 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104;"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006 ; germ of cereals, whole, rolled, flaked or ground:";;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 12;– – Of oats:;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 12 10;– – – Rolled;93 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 12 90;– – – Flaked;182 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 19;– – Of other cereals:;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 19 10;– – – Of wheat;175 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 19 30;– – – Of rye;171 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 19 50;– – – Of maize;173 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 19 61;– – – – Rolled;97 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 19 69;– – – – Flaked;189 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 19 91;– – – – Flaked rice;234 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 19 99;– – – – Other;173 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 22;– – Of oats:;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 22 40;– – – Hulled (shelled or husked), whether or not sliced or kibbled;162 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 22 50;– – – Pearled;145 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1104 22 95;– – – Other;93 €/t (1);—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
